sprint_id,team_id,team_name,sprint_name,start_date,end_date,committed_points,completed_points,velocity_completion_pct,avg_cycle_time_days,bugs_logged,completed_points_normalized,cycle_time_zscore,velocity_rank
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.2,2026-04-20,2026-05-01,36,22,61.1,7.4,13,0.2,1.1237584606971465,88
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.3,2026-04-20,2026-05-01,40,23,57.5,8.5,9,0.23333333333333334,1.6269718234216883,103
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.4,2026-04-20,2026-05-01,30,19,63.3,9.2,8,0.1,1.9471985087918509,84
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.5,2026-04-20,2026-05-01,38,26,68.4,9.0,10,0.3333333333333333,1.8557051701146619,78
SPRINT-002,TEAM-ALPHA,Backend Core,Sprint 42.6,2026-04-20,2026-05-01,31,17,54.8,7.3,12,0.03333333333333333,1.0780117913585516,106
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.1,2026-04-20,2026-05-01,34,32,94.1,3.8,3,0.5333333333333333,-0.5231216354922635,18
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.2,2026-04-20,2026-05-01,32,29,90.6,2.7,2,0.43333333333333335,-1.0263349982168053,44
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.3,2026-04-20,2026-05-01,32,31,96.9,3.6,3,0.5,-0.6146149741694528,11
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.4,2026-04-20,2026-05-01,43,40,93.0,3.5,3,0.8,-0.6603616435080476,29
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.5,2026-04-20,2026-05-01,39,36,92.3,2.9,4,0.6666666666666666,-0.9348416595396158,31
SPRINT-002,TEAM-BETA,Frontend Web,Sprint 42.6,2026-04-20,2026-05-01,36,33,91.7,3.6,4,0.5666666666666667,-0.6146149741694528,35
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.1,2026-04-20,2026-05-01,34,20,58.8,7.4,9,0.13333333333333333,1.1237584606971465,99
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.2,2026-04-20,2026-05-01,33,23,69.7,8.1,9,0.23333333333333334,1.4439851460673092,75
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.3,2026-04-20,2026-05-01,31,20,64.5,7.0,11,0.13333333333333333,0.9407717833427676,82
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.4,2026-04-20,2026-05-01,35,21,60.0,6.8,10,0.16666666666666666,0.849278444665578,93
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.5,2026-04-20,2026-05-01,40,24,60.0,6.4,7,0.26666666666666666,0.6662917673111993,92
SPRINT-002,TEAM-GAMMA,DevOps & Infra,Sprint 42.6,2026-04-20,2026-05-01,36,25,69.4,7.0,9,0.3,0.9407717833427676,76
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.1,2026-05-04,2026-05-15,49,29,59.2,7.1,12,0.43333333333333335,0.9865184526813621,96
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.2,2026-05-04,2026-05-15,37,23,62.2,7.7,7,0.23333333333333334,1.2609984687129305,87
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.3,2026-05-04,2026-05-15,48,28,58.3,6.9,9,0.4,0.895025114004173,100
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.4,2026-05-04,2026-05-15,38,23,60.5,6.2,8,0.23333333333333334,0.5747984286340099,89
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.5,2026-05-04,2026-05-15,49,29,59.2,8.4,9,0.43333333333333335,1.5812251540830937,97
SPRINT-003,TEAM-ALPHA,Backend Core,Sprint 43.6,2026-05-04,2026-05-15,46,26,56.5,9.5,9,0.3333333333333333,2.0844385168076354,105
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.1,2026-05-04,2026-05-15,46,45,97.8,3.3,3,0.9666666666666667,-0.751854982185237,1
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.2,2026-05-04,2026-05-15,34,31,91.2,3.8,2,0.5,-0.5231216354922635,41
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.3,2026-05-04,2026-05-15,31,29,93.5,3.4,2,0.43333333333333335,-0.7061083128466423,24
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.4,2026-05-04,2026-05-15,33,29,87.9,3.2,1,0.43333333333333335,-0.7976016515238317,63
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.5,2026-05-04,2026-05-15,35,32,91.4,3.8,2,0.5333333333333333,-0.5231216354922635,40
SPRINT-003,TEAM-BETA,Frontend Web,Sprint 43.6,2026-05-04,2026-05-15,40,39,97.5,4.1,1,0.7666666666666667,-0.3858816274764794,6
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.1,2026-05-04,2026-05-15,35,23,65.7,9.0,10,0.23333333333333334,1.8557051701146619,79
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.2,2026-05-04,2026-05-15,33,18,54.5,7.8,9,0.06666666666666667,1.3067451380515251,107
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.3,2026-05-04,2026-05-15,49,32,65.3,6.6,7,0.5333333333333333,0.7577851059883884,80
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.4,2026-05-04,2026-05-15,37,22,59.5,9.3,7,0.2,1.9929451781304464,94
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.5,2026-05-04,2026-05-15,40,24,60.0,6.4,13,0.26666666666666666,0.6662917673111993,90
SPRINT-003,TEAM-GAMMA,DevOps & Infra,Sprint 43.6,2026-05-04,2026-05-15,39,23,59.0,8.3,8,0.23333333333333334,1.535478484744499,98
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.1,2026-05-18,2026-05-29,45,28,62.2,7.9,8,0.4,1.3524918073901202,86
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.2,2026-05-18,2026-05-29,30,16,53.3,9.1,11,0.0,1.9014518394532565,108
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.3,2026-05-18,2026-05-29,38,22,57.9,8.5,9,0.2,1.6269718234216883,101
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.4,2026-05-18,2026-05-29,49,34,69.4,8.7,10,0.6,1.7184651620988773,77
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.5,2026-05-18,2026-05-29,40,28,70.0,8.7,10,0.4,1.7184651620988773,74
SPRINT-004,TEAM-ALPHA,Backend Core,Sprint 44.6,2026-05-18,2026-05-29,32,19,59.4,9.3,7,0.1,1.9929451781304464,95
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.1,2026-05-18,2026-05-29,47,42,89.4,3.6,2,0.8666666666666667,-0.6146149741694528,55
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.2,2026-05-18,2026-05-29,32,30,93.8,2.9,1,0.4666666666666667,-0.9348416595396158,20
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.3,2026-05-18,2026-05-29,33,29,87.9,3.2,4,0.43333333333333335,-0.7976016515238317,65
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.4,2026-05-18,2026-05-29,37,36,97.3,3.8,1,0.6666666666666666,-0.5231216354922635,9
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.5,2026-05-18,2026-05-29,45,40,88.9,3.2,3,0.8,-0.7976016515238317,56
SPRINT-004,TEAM-BETA,Frontend Web,Sprint 44.6,2026-05-18,2026-05-29,43,40,93.0,4.5,3,0.8,-0.2028949501221004,28
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.1,2026-05-18,2026-05-29,37,24,64.9,8.8,12,0.26666666666666666,1.7642118314374726,81
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.2,2026-05-18,2026-05-29,30,19,63.3,7.7,11,0.1,1.2609984687129305,83
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.3,2026-05-18,2026-05-29,45,26,57.8,6.1,7,0.3333333333333333,0.5290517592954149,102
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.4,2026-05-18,2026-05-29,46,33,71.7,7.6,12,0.5666666666666667,1.2152517993743357,73
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.5,2026-05-18,2026-05-29,35,21,60.0,6.1,11,0.16666666666666666,0.5290517592954149,91
SPRINT-004,TEAM-GAMMA,DevOps & Infra,Sprint 44.6,2026-05-18,2026-05-29,46,29,63.0,8.0,10,0.43333333333333335,1.3982384767287146,85
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.1,2026-06-01,2026-06-12,30,26,86.7,3.1,4,0.3333333333333333,-0.8433483208624264,70
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.2,2026-06-01,2026-06-12,30,27,90.0,2.8,1,0.36666666666666664,-0.9805883288782107,51
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.3,2026-06-01,2026-06-12,39,38,97.4,3.9,4,0.7333333333333333,-0.47737496615366876,7
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.4,2026-06-01,2026-06-12,43,38,88.4,3.7,2,0.7333333333333333,-0.568868304830858,59
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.5,2026-06-01,2026-06-12,31,28,90.3,3.1,2,0.4,-0.8433483208624264,47
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.6,2026-06-01,2026-06-12,46,45,97.8,2.8,2,0.9666666666666667,-0.9805883288782107,2
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.1,2026-06-01,2026-06-12,45,42,93.3,3.1,2,0.8666666666666667,-0.8433483208624264,26
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.2,2026-06-01,2026-06-12,32,29,90.6,3.7,4,0.43333333333333335,-0.568868304830858,45
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.3,2026-06-01,2026-06-12,36,33,91.7,4.1,1,0.5666666666666667,-0.3858816274764794,33
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.4,2026-06-01,2026-06-12,37,35,94.6,4.1,4,0.6333333333333333,-0.3858816274764794,16
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.5,2026-06-01,2026-06-12,48,44,91.7,3.3,2,0.9333333333333333,-0.751854982185237,37
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.6,2026-06-01,2026-06-12,48,44,91.7,3.6,1,0.9333333333333333,-0.6146149741694528,34
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.1,2026-06-01,2026-06-12,46,40,87.0,4.1,2,0.8,-0.3858816274764794,69
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.2,2026-06-01,2026-06-12,40,35,87.5,3.5,1,0.6333333333333333,-0.6603616435080476,67
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.3,2026-06-01,2026-06-12,41,40,97.6,3.4,2,0.8,-0.7061083128466423,5
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.4,2026-06-01,2026-06-12,42,37,88.1,3.3,3,0.7,-0.751854982185237,61
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.5,2026-06-01,2026-06-12,37,35,94.6,4.5,4,0.6333333333333333,-0.2028949501221004,17
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.6,2026-06-01,2026-06-12,39,35,89.7,4.1,3,0.6333333333333333,-0.3858816274764794,54
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.1,2026-06-15,2026-06-26,48,44,91.7,2.7,1,0.9333333333333333,-1.0263349982168053,38
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.2,2026-06-15,2026-06-26,38,36,94.7,2.6,2,0.6666666666666666,-1.0720816675554,15
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.3,2026-06-15,2026-06-26,30,27,90.0,3.0,2,0.36666666666666664,-0.8890949902010211,49
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.4,2026-06-15,2026-06-26,45,40,88.9,4.4,1,0.8,-0.24864161946069493,58
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.5,2026-06-15,2026-06-26,45,42,93.3,3.8,1,0.8666666666666667,-0.5231216354922635,27
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.6,2026-06-15,2026-06-26,32,29,90.6,3.2,1,0.43333333333333335,-0.7976016515238317,46
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.1,2026-06-15,2026-06-26,43,38,88.4,2.7,2,0.7333333333333333,-1.0263349982168053,60
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.2,2026-06-15,2026-06-26,43,42,97.7,2.9,4,0.8666666666666667,-0.9348416595396158,3
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.3,2026-06-15,2026-06-26,45,43,95.6,3.2,2,0.9,-0.7976016515238317,14
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.4,2026-06-15,2026-06-26,34,31,91.2,3.7,1,0.5,-0.568868304830858,42
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.5,2026-06-15,2026-06-26,33,29,87.9,3.2,2,0.43333333333333335,-0.7976016515238317,66
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.6,2026-06-15,2026-06-26,48,45,93.8,4.2,1,0.9666666666666667,-0.34013495813788447,21
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.1,2026-06-15,2026-06-26,42,37,88.1,2.6,3,0.7,-1.0720816675554,62
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.2,2026-06-15,2026-06-26,31,27,87.1,3.7,3,0.36666666666666664,-0.568868304830858,68
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.3,2026-06-15,2026-06-26,49,46,93.9,3.3,4,1.0,-0.751854982185237,19
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.4,2026-06-15,2026-06-26,30,28,93.3,3.6,1,0.4,-0.6146149741694528,25
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.5,2026-06-15,2026-06-26,41,37,90.2,4.4,2,0.7,-0.24864161946069493,48
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.6,2026-06-15,2026-06-26,40,36,90.0,2.6,3,0.6666666666666666,-1.0720816675554,52
