sprint_id,team_id,team_name,sprint_name,start_date,end_date,committed_points,completed_points,velocity_completion_pct,avg_cycle_time_days,bugs_logged
SPRINT-005,TEAM-ALPHA,Backend Core,Sprint 45.6,2026-06-01,2026-06-12,46,45,97.8,2.8,2
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.1,2026-06-01,2026-06-12,45,42,93.3,3.1,2
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.2,2026-06-01,2026-06-12,32,29,90.6,3.7,4
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.3,2026-06-01,2026-06-12,36,33,91.7,4.1,1
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.4,2026-06-01,2026-06-12,37,35,94.6,4.1,4
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.5,2026-06-01,2026-06-12,48,44,91.7,3.3,2
SPRINT-005,TEAM-BETA,Frontend Web,Sprint 45.6,2026-06-01,2026-06-12,48,44,91.7,3.6,1
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.1,2026-06-01,2026-06-12,46,40,87.0,4.1,2
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.2,2026-06-01,2026-06-12,40,35,87.5,3.5,1
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.3,2026-06-01,2026-06-12,41,40,97.6,3.4,2
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.4,2026-06-01,2026-06-12,42,37,88.1,3.3,3
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.5,2026-06-01,2026-06-12,37,35,94.6,4.5,4
SPRINT-005,TEAM-GAMMA,DevOps & Infra,Sprint 45.6,2026-06-01,2026-06-12,39,35,89.7,4.1,3
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.1,2026-06-15,2026-06-26,48,44,91.7,2.7,1
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.2,2026-06-15,2026-06-26,38,36,94.7,2.6,2
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.3,2026-06-15,2026-06-26,30,27,90.0,3.0,2
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.4,2026-06-15,2026-06-26,45,40,88.9,4.4,1
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.5,2026-06-15,2026-06-26,45,42,93.3,3.8,1
SPRINT-006,TEAM-ALPHA,Backend Core,Sprint 46.6,2026-06-15,2026-06-26,32,29,90.6,3.2,1
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.1,2026-06-15,2026-06-26,43,38,88.4,2.7,2
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.2,2026-06-15,2026-06-26,43,42,97.7,2.9,4
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.3,2026-06-15,2026-06-26,45,43,95.6,3.2,2
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.4,2026-06-15,2026-06-26,34,31,91.2,3.7,1
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.5,2026-06-15,2026-06-26,33,29,87.9,3.2,2
SPRINT-006,TEAM-BETA,Frontend Web,Sprint 46.6,2026-06-15,2026-06-26,48,45,93.8,4.2,1
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.1,2026-06-15,2026-06-26,42,37,88.1,2.6,3
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.2,2026-06-15,2026-06-26,31,27,87.1,3.7,3
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.3,2026-06-15,2026-06-26,49,46,93.9,3.3,4
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.4,2026-06-15,2026-06-26,30,28,93.3,3.6,1
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.5,2026-06-15,2026-06-26,41,37,90.2,4.4,2
SPRINT-006,TEAM-GAMMA,DevOps & Infra,Sprint 46.6,2026-06-15,2026-06-26,40,36,90.0,2.6,3
